symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
RED_KRW,B,2025-08-24 00:00:00,573.7159999999999,2025-08-24 15:00:00,552.338,-0.0372623388575531,SL,1,-0.06922588876726447,38.914027146856135,573.7159999999999,554.0,250534979.82563683,386202122.13756955
AVL_KRW,B,2025-08-24 00:00:00,194.194,2025-08-25 00:00:00,202.797,0.021650529882488643,Trail,2,0.0,50.66666665720889,194.194,218.0,3356936764.245553,2354710918.72063
GMX_KRW,B,2025-08-25 00:00:00,21255.749999999996,2025-08-25 15:00:00,21149.471249999995,-0.0050000000000000626,SL,1,-0.03555508509462129,39.65744400519694,21255.749999999996,21620.0,107724450.4991207,64038151.3736612
DBR_KRW,B,2025-08-25 00:00:00,32.24436,2025-08-26 00:00:00,33.20676,0.014423540116783252,Trail,2,0.0,68.43403200011858,32.24436,40.5,809725040.9320453,9009722984.026636
STG_KRW,B,2025-08-25 15:00:00,240.48,2025-08-26 00:00:00,239.28,-0.0049900199600797935,SL,1,-0.0518962075848303,39.39393938558311,240.48,240.0,1094744407.3668547,368245270.57448626
AUCTION_KRW,B,2025-08-25 15:00:00,13997.94,2025-08-26 00:00:00,13928.09,-0.004990019960079866,SL,1,-0.057004102032156195,41.287878787659835,13997.94,13970.0,1114980356.835223,326097203.0408279
IP_KRW,B,2025-08-27 00:00:00,8068.0599999999995,2025-08-28 00:00:00,8464.53,0.0230703428085563,Trail,2,0.0,62.32227488110308,8068.0599999999995,8510.0,3945206538.941656,706863573.0612831
RED_KRW,B,2025-08-27 00:00:00,533.064,2025-08-28 00:00:00,580.836,0.04380887848363424,Trail,2,0.0,52.85171102380257,533.064,582.0,1948104976.0605855,1048518544.7311779
BICO_KRW,B,2025-08-27 15:00:00,164.492,2025-08-28 00:00:00,163.836,-0.003988035892322894,SL,1,-0.021228995939012174,51.47058822469724,164.492,164.0,666099584.343998,2153327199.6364355
GTC_KRW,B,2025-08-28 00:00:00,461.37999999999994,2025-08-28 15:00:00,459.99585999999994,-0.0030000000000000053,SL,1,-0.026832545840738523,30.188679243289414,461.37999999999994,482.0,618588306.6552407,580717252.2645745
CFX_KRW,B,2025-08-28 00:00:00,241.24099999999999,2025-08-29 00:00:00,250.749,0.019206434644193998,Trail,2,0.0,57.843137246962705,241.24099999999999,266.0,3027621472.0466638,3362835394.968727
SUN_KRW,B,2025-08-28 15:00:00,32.93385,2025-08-29 00:00:00,32.60615,-0.009950248756218909,SL,1,-0.054771914003373445,39.01170344003074,32.93385,32.77,138944475.747686,97123270.10129195
RED_KRW,B,2025-08-28 15:00:00,598.194,2025-08-29 00:00:00,595.806,-0.003992015968063738,SL,1,-0.055490359314871035,59.84251968174096,598.194,597.0,1048518544.7311779,850975039.5489576
PYTH_KRW,B,2025-08-29 00:00:00,262.26199999999994,2025-08-30 00:00:00,279.72,0.03278351038274715,Trail,2,0.0,85.35353534750026,262.26199999999994,306.0,158913575473.23154,48562883848.73885
W_KRW,B,2025-08-29 00:00:00,110.10999999999999,2025-08-30 00:00:00,115.884,0.025719235310144445,Trail,2,0.0,55.10204080058309,110.10999999999999,116.0,28284927164.007683,4990103925.191544
SKL_KRW,B,2025-08-30 00:00:00,36.576539999999994,2025-08-31 00:00:00,42.3576,0.07852688444560374,Trail,2,0.0,49.89939636265166,36.576539999999994,49.71,38820470284.50312,21278452321.523373
LRC_KRW,B,2025-08-31 00:00:00,121.12099999999998,2025-09-01 00:00:00,137.862,0.06860857737304024,Trail,2,0.0,66.6666666537037,121.12099999999998,154.0,14763269769.565538,10989702944.032278
LRC_KRW,B,2025-09-01 00:00:00,154.154,2025-09-01 15:00:00,135.864,-0.11864758618005367,SL,1,-0.12425237100561774,59.9999999895,154.154,136.0,10989702944.032278,5282903540.320691
SIX_KRW,B,2025-09-01 00:00:00,29.9289,2025-09-01 15:00:00,29.839113299999998,-0.003000000000000041,SL,1,-0.004306873957946935,50.4149376129027,29.9289,30.28,198274089.04804784,203647614.70570803
BCH_KRW,B,2025-09-02 00:00:00,760759.9999999999,2025-09-03 00:00:00,810189.0,0.031986592355013485,Trail,2,0.0,56.96969696969375,760759.9999999999,811000.0,3816311945.4100995,5680988551.27998
SAHARA_KRW,B,2025-09-02 00:00:00,122.12199999999999,2025-09-03 00:00:00,125.874,0.014861687492835058,Trail,2,0.0,58.62068962687277,122.12199999999999,126.0,3335610207.737271,2950821728.946496
BAT_KRW,B,2025-09-02 15:00:00,220.09499999999997,2025-09-03 00:00:00,217.905,-0.009950248756218767,SL,1,-0.027692587291851114,55.55555554320988,220.09499999999997,219.0,160105571.31908655,94527076.87592348
HFT_KRW,B,2025-09-03 00:00:00,122.12199999999999,2025-09-03 15:00:00,121.75563399999999,-0.002999999999999995,SL,1,-0.03375313211378774,64.06249998598634,122.12199999999999,132.0,2564318323.864948,654035144.2895417
SOLV_KRW,B,2025-09-04 00:00:00,58.98344999999999,2025-09-04 15:00:00,58.68853274999999,-0.004999999999999958,SL,1,-0.00531420254325559,49.32855857738588,58.98344999999999,60.74,77034964.03009313,153117883.07133722
HOME_KRW,B,2025-09-05 00:00:00,51.693180000000005,2025-09-06 00:00:00,55.093149999999994,0.030386059631076975,Trail,2,0.0,45.0980391943417,51.693180000000005,56.16,1227723361.8039691,188923054.6297007
AVAX_KRW,B,2025-09-06 00:00:00,34148.16,2025-09-06 15:00:00,34017.64,-0.0038221678708312266,SL,1,-0.006388631188327672,39.11248710004669,34148.16,34120.0,1038003518.422685,765627245.6965392
GTC_KRW,B,2025-09-06 00:00:00,458.3709999999999,2025-09-07 00:00:00,472.625,0.013048540374500218,Trail,2,0.0,47.99999999616,458.3709999999999,475.0,450996523.4332653,157708780.80718234
OP_KRW,B,2025-09-06 15:00:00,1011.0239999999999,2025-09-07 00:00:00,1005.984,-0.00498504486540364,SL,1,-0.014860181360679755,35.451505015062466,1011.0239999999999,1008.0,520170586.1336396,1880140759.7601624
CHR_KRW,B,2025-09-07 00:00:00,134.67,2025-09-08 00:00:00,136.315,0.0036075220910373918,Trail,2,0.0,45.16129030218522,134.67,137.0,82125379.08493957,157146455.05365136
SOLV_KRW,B,2025-09-07 00:00:00,59.48594999999999,2025-09-08 00:00:00,61.51672,0.01606932477332894,Trail,2,0.0,56.9883526790485,59.48594999999999,61.93,17563738.083639566,1004965782.7075511
QTUM_KRW,B,2025-09-08 00:00:00,3766.518,2025-09-08 15:00:00,3738.508,-0.00743657670028398,SL,1,-0.03969661103438243,37.489539748734366,3766.518,3746.0,1829891909.4368181,1802608848.7682588
KERNEL_KRW,B,2025-09-08 00:00:00,264.792,2025-09-09 00:00:00,280.438,0.02854394392579839,Trail,2,0.0,51.70068026718497,264.792,281.0,556215607.7327815,1193225562.567714
ADA_KRW,B,2025-09-08 15:00:00,1199.1979999999999,2025-09-09 00:00:00,1196.802,-0.0019980019980019633,SL,1,-0.006002344900508395,44.72573839398244,1199.1979999999999,1198.0,22984817113.248245,27889291047.58332
CHR_KRW,B,2025-09-08 15:00:00,138.69,2025-09-09 00:00:00,137.586,-0.007960199004975016,SL,1,-0.004975124378109436,48.38709675234131,138.69,138.0,157146455.05365136,444552871.9248357
ARB_KRW,B,2025-09-09 00:00:00,701.7009999999999,2025-09-09 15:00:00,700.999299,-0.0009999999999999393,SL,1,-0.0038492178292462297,41.54589371699689,701.7009999999999,726.0,4896672356.468454,4116199079.940306
FLOCK_KRW,B,2025-09-09 00:00:00,369.36899999999997,2025-09-10 00:00:00,525.474,0.2108130771667358,Trail,2,0.0,54.03348553918346,369.36899999999997,587.0,105325237799.53453,15438571428.80883
XPR_KRW,B,2025-09-09 15:00:00,9.070060999999999,2025-09-10 00:00:00,9.033816999999999,-0.00399600399600399,SL,1,-0.04421811496085843,59.33371601646411,9.070060999999999,9.061,4249112990.742985,476785350.0943732
